matricula;estado;lat;long;bateria
3307PNS;1;37.9328;3.80014;32.78%
8821DTE;0;37.8682;3.82675;85.55%
2688WXL;1;37.2058;3.46147;25.96%
3365CAQ;3;37.7873;3.11849;70.24%
5589JTN;3;37.6333;3.45608;96.82%
3033GDS;2;37.6442;3.42975;11.71%
5663QMP;0;37.9631;3.90505;81.27%
2802YPB;3;37.6162;3.25583;22.96%
1116AYC;3;37.3557;3.01864;77.77%
3531KBG;0;37.5764;3.81344;70.08%
8220KYR;1;37.6641;3.52258;95.25%
5286ZHC;3;37.9829;3.24942;63.84%
2135FIP;3;37.7729;3.26104;36.09%
6830JLE;2;37.1629;3.1309;3.09%
0788QVP;2;37.6795;3.76615;2.77%
3676PMY;0;37.4127;3.88751;21.43%
7110OYT;0;37.2758;3.19046;17%
4292NTD;0;37.7498;3.92141;35.09%
4353ZUV;0;37.3875;3.44098;40.94%
6437PTV;2;37.1015;3.40527;10.05%
8048KPZ;1;37.9169;3.30028;48.15%
6463BYP;0;37.8047;3.03735;59.97%
4877AQV;1;37.513;3.37575;88.94%
9316HZP;0;37.6394;3.32391;88.43%
0218ZIU;2;37.5955;3.68557;11.09%
3610CXA;1;37.2913;3.5418;58.17%
2035OGW;1;37.234;3.4502;92.65%
9700JNJ;2;37.0699;3.72242;13.18%
4027YUW;2;37.2963;3.79432;13.67%
1576AXF;0;37.4864;3.18674;19%
4774USN;1;37.0363;3.72798;25.88%
4598YHI;1;37.1469;3.65132;75.03%
0549DGW;2;37.3894;3.80589;2.61%
8645QOK;3;37.0397;3.31191;72.87%
4335AKO;2;37.134;3.6835;12.12%
2398WDB;0;37.6713;3.52358;26.25%
6080LQE;3;37.1166;3.45555;74.32%
8071DNF;3;37.0452;3.52143;15.7%
0539ELS;3;37.7342;3.21904;44.38%
2400QPF;1;37.3557;3.16065;75.22%
8595OAS;0;37.848;3.92019;66.66%
8574XFL;3;37.8685;3.55911;30.09%
9171NLT;0;37.5828;3.10279;89.47%
5736KTQ;1;37.5304;3.40751;81.55%
5054COG;1;37.705;3.54405;38.36%
8797JHT;2;37.9918;3.61361;12.11%
8703NTK;2;37.6773;3.06423;11.71%
2767XGY;3;37.2858;3.36145;66.85%
8097NWA;2;37.4873;3.0666;13.57%
4014HKJ;2;37.3491;3.47937;10.28%
4002QEI;2;37.591;3.46982;13.45%
4133BDI;3;37.7931;3.57922;63.39%
7750MKP;3;37.0488;3.36527;58.84%
1683ACV;2;37.6209;3.86435;10.92%
6641XRG;1;37.88;3.71741;94.43%
0097BBF;2;37.7228;3.54829;5.55%
9647ZLN;1;37.4031;3.40394;89.39%
2598RXK;3;37.121;3.29778;27.69%
5697TGI;1;37.4257;3.41163;90%
3457HTI;1;37.5801;3.01837;20.15%
